mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
31	29	5/8	5/8	4/4	2	1	viio64/V				A	I		viio64/V	vii	o	64		V				o	0	0	3, 9, 6		9.0	3.0	1	3	0.25	0.0625	0.1875	0.25
31	29	7/8	7/8	4/4	2	1	V2/V				A	I		V2/V	V		2		V				Mm7	0	0	3, 5, 9, 6		5.0	3.0	1	1	0.5	0.0625	0.0625	0.5
32	30	0	0	4/4	2	1	V7				A	I		V7	V		7						Mm7	0	0	4, 8, 5, 2		4.0	4.0	1	14	0.06666666666666667	0.1875	2.6875	0.06521739130434782
32	30	3/8	3/8	4/4	2	1	I6				A	I		I6	I		6						M	0	0	7, 4, 3		3.0	7.0	1	2	0.3333333333333333	0.0625	0.25	0.2
32	30	1/2	1/2	4/4	2	1	V(4)				A	I		V(4)	V			4					M	0	0	4, 3, 5		4.0	4.0	0	4	0.0	0.0	0.875	0.0
32	30	5/8	5/8	4/4	2	1	V				A	I		V	V								M	0	0	4, 8, 5		4.0	4.0	3	4	0.42857142857142855	0.1875	0.4375	0.3
33	31	0	0	4/4	2	1	V7				A	I		V7	V		7						Mm7	0	0	4, 8, 5, 2		4.0	4.0	0	9	0.0	0.0	1.4375	0.0
33	31	1/4	1/4	4/4	2	1	I6(97)				A	I		I6(97)	I		6	97					M	0	0	7, 4, 8	5	3.0	7.0	0	5	0.0	0.0	0.6875	0.0
33	31	3/8	3/8	4/4	2	1	viio2/V				A	I		viio2/V	vii	o	2		V				o7	0	0	0, 9, 6, 3		9.0	0.0	0	3	0.0	0.0	0.3125	0.0
33	31	1/2	1/2	4/4	2	1	V(43)				A	I		V(43)	V			43					M	0	0	4, 3, 5		4.0	4.0	2	5	0.2857142857142857	0.0625	1.1875	0.05
33	31	5/8	5/8	4/4	2	1	I				A	I		I	I								M	0	0	3, 7, 4		3.0	3.0	2	3	0.4	0.0625	0.1875	0.25
33	31	3/4	3/4	4/4	2	1	V				A	I		V	V								M	0	0	4, 8, 5		4.0	4.0	1	2	0.3333333333333333	0.0625	0.25	0.2
33	31	7/8	7/8	4/4	2	1	V7]				A	I		V7	V		7			]			Mm7	0	0	4, 8, 5, 2		4.0	4.0	1	1	0.5	0.0625	0.125	0.3333333333333333
