mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
16	13	3/4	3/4	4/4	2	1	iio64					e	i		iio64	ii	o	64					o	1	1	0, 6, 3		6	0	0	2	0.0	0.0	0.125	0.0
16	13	13/16	13/16	4/4	2	1	V(64)					e	i		V(64)	V			64				M	1	1	5, 4, 1		5	5	1	2	0.3333333333333333	0.03125	0.09375	0.25
16	13	7/8	7/8	4/4	2	1	i					e	i		i	i							m	1	1	4, 1, 5		4	4	0	2	0.0	0.0	0.125	0.0
16	13	15/16	15/16	4/4	2	1	#viio	-1.4	-6	/		e	i		#viio	#vii	o						o	1	1	9, 6, 3		9	9	0	2	0.0	0.0	0.125	0.0
17	14	0	0	4/4	2	1	i					e	i		i	i							m	1	1	4, 1, 5		4	4	6	7	0.46153846153846156	0.375	0.9375	0.2857142857142857
17	14	1/2	1/2	4/4	2	1	V7/iv					e	i		V7/iv	V		7		iv			Mm7	1	1	4, 8, 5, 2		4	4	0	7	0.0	0.0	0.625	0.0
17	14	3/4	3/4	4/4	2	1	iio/iv					e	i		iio/iv	ii	o			iv			o	1	1	5, 2, -1		5	5	0	2	0.0	0.0	0.125	0.0
17	14	13/16	13/16	4/4	2	1	iv6					e	i		iv6	iv		6					m	1	1	0, 4, 3		3	0	1	4	0.2	0.03125	0.21875	0.125
17	14	15/16	15/16	4/4	2	1	#viio6/iv					e	i		#viio6/iv	#vii	o	6		iv			o	1	1	5, 2, 8		8	5	0	2	0.0	0.0	0.125	0.0
18	15	0	0	4/4	2	1	iv6					e	i		iv6	iv		6					m	1	1	0, 4, 3		3	0	1	2	0.3333333333333333	0.0625	0.25	0.2
18	15	1/8	1/8	4/4	2	1	iv					e	i		iv	iv							m	1	1	3, 0, 4		3	3	1	2	0.3333333333333333	0.0625	0.125	0.3333333333333333
18	15	1/4	1/4	4/4	2	1	#vi%7/vii					e	i		#vi%7/vii	#vi	%	7		vii			%7	1	1	5, 2, -1, 3		5	5	1	3	0.25	0.0625	0.1875	0.25
18	15	3/8	3/8	4/4	2	1	V65/vii					e	i		V65/vii	V		65		vii			Mm7	1	1	7, 4, 1, 3		3	7	1	3	0.25	0.0625	0.1875	0.25
18	15	1/2	1/2	4/4	2	1	#viio7(4)/vii					e	i		#viio7(4)/vii	#vii	o	7	4	vii			o7	1	1	7, -1, 1, -2		7	7	1	3	0.25	0.0625	0.3125	0.16666666666666666
18	15	11/16	11/16	4/4	2	1	#viio7/vii					e	i		#viio7/vii	#vii	o	7		vii			o7	1	1	7, 4, 1, -2		7	7	0	2	0.0	0.0	0.125	0.0
18	15	3/4	3/4	4/4	2	1	VI6/vii					e	i		VI6/vii	VI		6		vii			M	1	1	2, -1, -2		-2	2	1	3	0.25	0.0625	0.1875	0.25
